,address,description,name,value
231,"Beach Front, Watamu, Watamu, Coast",2 Bedrooms,"2 Bedroom Penthouse Apartment With Sea Views At Medina Palms, Watamu - S221",KSh 59000000
232,"Thindigua, Kiambu, Kiambu Road, Nairobi, Nairobi",2 Bedrooms,Apartment For Sale In Serene Court,KSh 8500000
233,"MIGAA, Kiambu, Kiambu, Central",1 Bedrooms,Apartments For Sale In Kiambu,KSh 7500000
234,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Stunning and beautiful! Kilimani three bedroom apartments,KSh 22000000
235,"Embakasi, Embakasi, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Low-Rise Apartment In Embakasi,KSh 7200000
236,"Wood Avenue, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Apartments- Wood Avenue, Kilimani",KSh 20000000
237,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for Sale in Runda - 3KE1335208,KSh 95000000
238,"Waiyaki way junction with Southern By-pass, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,Kassarvita Homes,KSh 8900000
239,"Rosslyn Lone Tree, Rosslyn, Nairobi, Nairobi",4 Bedrooms,4 Bedroom House in Rosslyn,KSh 67300000
240,"Banana town, off red hill road. Kiambu County, Banana-Limuru road, , Banana Hill, Central",2 Bedrooms,Willow Park Homes 2 Bedroom Apartments,KSh 7250000
241,"Brookside Drive, Westlands, Nairobi, Nairobi",2 Bedrooms,""" Great Investment""",KSh 25000000
242,"Kilimani, Kilimani, Nairobi, Nairobi",4046 Building Size (m²),Commercial Office for Sale in Kilimani - 3KE1299453,Contact seller for price
243,"Banana town, off red hill road. Kiambu County, Banana-Limuru road, Riruta, Banana Hill, Central",1 Bedrooms,Willow Park Homes 1 Bedroom Apartments,KSh 5250000
244,"Syokimau, Syokimau, Nairobi, Nairobi",3 Bedrooms,Prestigious And Spaciuos 3 Bedroom Apartment In Syokimau,KSh 7500000
245,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,Suburban Oasis! Runda Mae Ridge 5 bed house,KSh 110000000
246,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,Eye candy Runda Paradise 4 bed townhouse!,KSh 21500000
247,"Karen Plains, Karen, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House For Sale In Karen - 3ke1342762,KSh 60000000
248,"Banana town, off red hill road. Kiambu County, Banana-Limuru road, Riruta, Banana Hill, Central",3 Bedrooms,Willow Park Homes 3 Bedroom Apartments,KSh 9150000
249,"Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Syokimau- 3ke1271722,KSh 100000000
250,"Muthithi Road, Westlands, Nairobi, Nairobi",1 Bedrooms,"1, 2 And 3 Bedroom Apartments For Sale In Westlands",KSh 15000000
251,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,"Great Apartment, Kileleshwa",KSh 23000000
252,"69 Church Road, Westlands, Nairobi, Nairobi",3 Bedrooms,Sky View Gardens- Development,KSh 35000000
253,"Juja South, Juja, Kiambu, Central",3 Bedrooms,Juja South Estate - 3 Bedroom Penthouse,KSh 8000000
254,"Membley, Membley, Nairobi, Nairobi",5 Bedrooms,Real cozy! Membley Beautiful Five Bedroom Maisonette,KSh 16000000
255,"kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,Purple Haze,KSh 20750000
256,"4 Bedroom Duplex Penthouse For Sale At Riverside, Riverside, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Duplex Penthouse For Sale At Riverside,KSh 60000000
257,"Thindigua, Thindigua, Nairobi, Nairobi",2 Bedrooms,"Grandville Two. 2 Bedroom Penthouse Apartment In Thindigua, Kiambu Road.",KSh 5500000
258,"Off Langata Road, Karen, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for sale in Karen - 3ke1342396,KSh 120000000
259,"Mombasa Road, Imara Daima, Nairobi, Nairobi",3 Bedrooms,"Apartment, Kings Millennium - Imara Daima",KSh 9500000
260,"NYALI, North Coast , Coast, Coast",3 Bedrooms,Apartment For Sale - Nyali,KSh 47000000
261,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,Beauty at its best! Runda Mansion For Sale,KSh 200000000
262,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",10 Bedrooms,1 Bedroom Apartment For Sale In Kileleshwa - 3ke1287890,KSh 10500000
263,"Exceptional Penthouse For Sale At Brookside, Brookside, Nairobi, Nairobi",5 Bedrooms,Exceptional Penthouse For Sale At Brookside,KSh 72000000
264,"Waiyaki Way, Westlands, Nairobi, Nairobi",4 Bedrooms,"Aspen Apartments -Westlands, Waiyaki Way",KSh 33000000
265,"parklands, Parklands, Nairobi, Nairobi",4 Bedrooms,Lotus Apartment,KSh 29000000
266,"Lenana Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Stunning Apartments In Hurlingham,KSh 17500000
267,"Westlands, Nairobi, Nairobi",3 Bedrooms,Williamson Court  Westlands,KSh 24000000
268,"suna road, Ngong Road, Nairobi, Nairobi",3 Bedrooms,"Apartment At Woodley Springs, Ngong Road",KSh 16000000
269,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kileleshwa-3ke1276283,KSh 21500000
270,"Suguta Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,1 & 2 Bedroom Luxurious Apartments For Sale,KSh 15500000
271,"KITI, Nakuru, Nakuru, Rift Valley",3 Bedrooms,Milimani Mountain View Apartments - Nakuru,KSh 8000000
272,"Hurlingham, Nairobi, Nairobi",3 Bedrooms,Exquisite And Stylish 3 Bedroom All Ensuite Apartment In Hurlingham,KSh 29500000
273,"Furnished Apartments For Sale On Waiyaki Way, Waiyaki Way, Nairobi, Nairobi",2 Bedrooms,Modern Apartments For Sale In Westlands,KSh 23000000
274,"Mombasa Road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,Shaba Village - 3 Bedroom Apartment,KSh 13000000
275,"Runda, Runda, Nairobi, Nairobi",3399 Land Size (m²),0.84 Acres Vacant Land for Sale in Runda - 3KE1300775,KSh 85000000
276,"Watamu, Watamu, Watamu, Coast",2 Bedrooms,"Beachfront Duplex Apartment, Watamu",KSh 20000000
277,"kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Marquis,KSh 14000000
278,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Welcome home! Kilimani Yaya 3 Bedroom Apartment,KSh 17800000
279,"Riverside, Riverside, Nairobi, Nairobi",4 Bedrooms,Lovely 4 Bedroom Apartment For Sale In Riverside-3ke1217385,KSh 25000000
280,"Four Bedroom Apartment For Sale On Rhapta Road, Rhapta Road, Nairobi, Nairobi",4 Bedrooms,Four Bedroom Apartment For Sale On Rhapta Road,KSh 24000000
281,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Modern Apartment For Sale In Kileleshwa - 3ke1287711,KSh 23000000
282,"Embakasi, Embakasi, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Embakasi,KSh 8000000
283,"brookside, Grevillea Grove, Nairobi, Nairobi",3 Bedrooms,Victoria Heights,KSh 30000000
284,"kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Neat and cute! Kileleshwa 3 Bedroom Apartment with SQ,KSh 19500000
285,"Kiambu, waiyaki way, Riruta, Nairobi, Nairobi",2 Bedrooms,Kassarvita Homes,KSh 8700000
286,"kahawa barracks, Kahawa Wendani, Nairobi, Nairobi",2 Bedrooms,Beautiful 2 Bedroom Apartments In Kahawa Wendani,KSh 5500000
287,"Greenspan mall, Donholm, Nairobi, Nairobi",3 Bedrooms,"Elegant 3 Bedroom Master Ensuite Apartment In Greenspan, Donholm",KSh 8300000
288,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kileleshwa - 3ke1291682,KSh 17000000
289,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,Lavish And Stylish 3 Bedroom All Ensuite Apartments In Lavington,KSh 28000000
290,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",5 Bedrooms,17 1004 ST Perfect family home which is an absolute must see 17 09 29,KSh 170000000
291,"3 Bedroom Modern Apartment For Sale In Kyuna, Kyuna, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Modern Apartment For Sale In Kyuna,KSh 36000000
292,"Donyo Park, Westlands, Nairobi, Nairobi",2 Bedrooms,Donyo Park Donyo Sabuk LaneÃ£â€šÃ‚Â,KSh 18700000
293,"Mombasa Road, Mlolongo, Nairobi, Nairobi",3 Bedrooms,"Apartment , Sheshe Gardens - Mlolongo",KSh 8500000
294,"Nyayo Embakasi, Embakasi, Nairobi, Nairobi",3 Bedrooms,shilling and sense! Nyayo Estate affordable apartment,KSh 7450000
295,"1st Parklands, Parklands, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Parklands,KSh 13000000
296,"Maasai Lodge Rd., Ongata Rongai, Kajiado, Rift Valley",3 Bedrooms,Brezzy Ville Apartments Â€“ Rongai,KSh 6500000
297,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Modernized 3 Bedroom Apartment For Sale In Kileleshwa - 3ke1294353,KSh 22000000
298,"Hatheru road, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments In Lavington,KSh 21500000
299,"Syokimau, Nairobi, Nairobi",2 Bedrooms,Olonyori Apartments In Syokimau,KSh 4500000
300,"Thika Road, Thika Road, Nairobi, Nairobi",2 Bedrooms,Beautiful Duplex Apartment For Sale On Thika Road - 3ke1324170,KSh 24600000
301,"Brookside Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Duplex Apartment,KSh 29000000
302,"Thika superhighway, Thika Road, Nairobi, Nairobi",94 Living area (m²),Mazuri Side Apartments ~ Phase Ii,KSh 3750000
303,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,County cottage! Lavington 5 bed off Gatanga road,KSh 55000000
304,"Mombasa road, Mombasa Road, Nairobi, Nairobi",4 Rooms (total),"Godowns 8,725 sqft Mombasa road for sale",KSh 45000000
305,"Mountain View, Mountain View, Nairobi, Nairobi",3 Bedrooms,Modern/ Spacious 3 Bedroom Apartment In Mountain View,KSh 10000000
306,"Ngong Road, Ngong Road, Nairobi, Nairobi",2 Bedrooms,"Apartment, Racecourse Gardens Limited",KSh 7200000
307,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,Move-in ready! Runda Paradise Townhouse For Sale,KSh 23500000
308,"Parklands, Nairobi, Nairobi",3 Bedrooms,Royal Apartments  Parklands,KSh 23000000
309,"South C, South C, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In South C - 3ke1281960,KSh 15000000
310,"Thindigua, Kiambu, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,Apartment For Sale In Serene Court,KSh 9750000
311,"dennis pritt road, Hurlingham, Nairobi, Nairobi",2 Bedrooms,"Apartment At The Enclave-Hurlingham, Off Dennis Pritt Road",KSh 16000000
312,"Athi River, machakos, kitengela, mombasa, Athi River, Machakos, Eastern",1 Bedrooms,Everest Park Estate,KSh 2950000
313,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for sale in Runda - 3ke1317585,KSh 89000000
314,"Juja, Juja, Kiambu, Central",2 Bedrooms,2 Bedroom Apartments,KSh 5500000
315,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Spacious Apartment For Sale In Kileleshwa - 3ke1282960,KSh 20000000
316,"Ngong, Ngong Township, Ngong Township, Rift Valley",3 Bedrooms,Brand New! Ngong Matasia Three Bedroom Bungalow,KSh 5760000
317,"Nakuru, Gilgil, Gilgil, Rift Valley",4 Bedrooms,"House at Ridgemount, Gilgil",KSh 48000000
318,"chalbi drive, Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,4 Bedroom All Ensuite House for sale in Lavington With Sq,KSh 60000000
319,"Kileleshwa, Nairobi, Nairobi",1 Bedrooms,Modern 1 Bedroom Apartment For Sale In Kileleshwa-3ke1218395,KSh 9500000
320,"General Mathenge, Westlands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment In Westlands,KSh 31000000
321,"lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Krishna Heights,KSh 20000000
322,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",3 Bedrooms,Move-in ready! Ongata Rongai Bungalow,KSh 5650000
323,"Kiambere road, Upper Hill, Nairobi, Nairobi",2 Bedrooms,Upper Hill - 2 & 3 Br Apartments For Sale,KSh 17000000
324,"Karen, Nairobi, Nairobi",5 Bedrooms,Karen Luxurious 4 Bedroom Townhouse,KSh 82000000
325,"Commercial Office Space For Sale On Waiyaki Way, Waiyaki Way, Nairobi, Nairobi",147 Building Size (m²),Commercial Office Space For Sale On Waiyaki Way,Contact seller for price
326,"General Mathenge drive, Westlands, Nairobi, Nairobi",4 Bedrooms,Luxurious 3 Bedroom Apartments For Sale In Westlands,KSh 72000000
327,"Donholm, Donholm, Nairobi, Nairobi",3 Bedrooms,City beauty! Donholm Greenspan house,KSh 13400000
328,"Parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,Fantastic 3 Bedroom Apartment For Sale In Parklands - 3ke1200053,KSh 44000000
329,"Ruaka, Ruaka, Nairobi, Nairobi",2 Bedrooms,Majestic 2 Bedroom Apartment In Ruaka,KSh 8500000
330,"Suswa road, Parklands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale In Parklands,KSh 27000000
331,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Builders special! Kilimani Riara Beautiful Apartment,KSh 18500000
332,"15 minutes drive from Nairobi CBD, Thika Road, Nairobi, Nairobi",2 Bedrooms,Lenkai Apartments - Thika Road,KSh 5250000
333,"Thika Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale On Thika Road - 3ke1324152,KSh 33500000
334,"Riverside, Riverside, Nairobi, Nairobi",4 Bedrooms,Luxurious Apartment For Sale In Riverside - 3ke1173868,KSh 48500000
335,"Mpaka Road, Westlands, Nairobi, Nairobi",3 Bedrooms,"Spacious 3 Bedroom Apartments For Sale In Westlands, Mpaka Road",KSh 29000000
336,"Riverside Penthouse for Sale, Riverside, Nairobi, Nairobi",5 Bedrooms,Riverside Penthouse For Sale,KSh 85000000
337,"hatheru road, Lavington, Nairobi, Nairobi",4 Bedrooms,"Stunning 3 Br Apartment With Sq For Sale In Hatheru Road, Lavington",KSh 25000000
338,"Mlolongo, Mlolongo, Nairobi, Nairobi",3 Bedrooms,Priced to sell! Great Wall Mombasa Road apartment.,KSh 6800000
339,"Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Penthouse Furnished At 200k,KSh 150000
340,"Thika road, Thika Road, Nairobi, Nairobi",3 Bedrooms,"Apartment, Thika Gateway Plaza",KSh 10500000
341,"kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Apartment In Kileleshwa,KSh 22000000
342,"Kiserian, Kiserian, Nairobi, Nairobi",929 Land Size (m²),1/4 Prime Plots for sale in Kiserian,KSh 1400000
343,"Ngong Road, Ngong Road, Nairobi, Nairobi",4500 Building Size (m²),1.1 Acres Commercial Land For Sale - 3ke1290926,Contact seller for price
344,"Keri Road, Madaraka, Nairobi, Nairobi",3 Bedrooms,8 Units Of 3 Bedroom Duplexes All En Suite For Sale,KSh 160000000
345,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Flat In Kilimani,KSh 28000000
346,"Athi River, Athi River, Machakos, Eastern",3 Bedrooms,Luxurious 3 Bedroom Apartment In Athi River,KSh 6000000
347,"Ruaka, Ruaka, Nairobi, Nairobi",3 Bedrooms,The Pearl Of Ruaka,KSh 13500000
348,"ole odume road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kilimani,KSh 19500000
349,"Between Yaya and Nakumatt Junction., Kilimani, Nairobi, Nairobi",3 Bedrooms,Kilimani - 3 Bedroom Apartment.,KSh 19000000
350,"Mkungu close, Westlands, Nairobi, Nairobi",2 Bedrooms,"Skynest Apartments - Mkungu Close, 1 & 2 Bedroom",KSh 15700000
351,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",4 Bedrooms,17 1012  Sensational Voluminous Branded Townhouse at Kitisuru,KSh 135000000
352,"waiyaki way, Waiyaki Way, Nairobi, Nairobi",2 Bedrooms,Ovation,KSh 7500000
353,"kitengela acacia, Kitengela, Kajiado, Rift Valley",3 Bedrooms,Upscale modern! Kitengela 3 bed bungalow,KSh 6800000
354,"Riara Road, Riara Road, Nairobi, Nairobi",5 Bedrooms,Exclusive 5 Br Apartment On Riaira Road,KSh 25000000
355,"Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,Brand New Elegant And Beautiful 3 Bedroom Apartment In Westlands,KSh 25000000
356,"Thika, Thika Township, Thika Township, Central",5 Bedrooms,Real cozy! Ngoigwa Five Bedroom House,KSh 16200000
357,"Runda, Runda, Nairobi, Nairobi",3 Bedrooms,3 Bedroom House for Sale in Runda - 3KE1318856,KSh 78000000
358,"Garden City Village, Thika Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment In Garden City Village - S284,KSh 40000000
359,"Diani Beach Rd, Northern end, Diani, Mombasa, Coast",3 Bedrooms,"Diani House For Sale Euro230,000",KSh 25600000
360,"Lower Kabete road, Spring Valley, Nairobi, Nairobi",3 Bedrooms,"2, 3 And 5 Bedroom Apartments For Sale In Spring Valley",Contact seller for price
361,"Meru, Meru, Meru, Eastern",NO326AP31DIYINTRESKEA Object ID,Greenwood City Luxurious Apartments - Meru,KSh 10000000
362,"nyali links road, Nyali, Mombasa, Coast",3 Bedrooms,Apartment For Sale 80% Sold,KSh 16000000
363,"Imara Daima, Imara Daima, Nairobi, Nairobi",3 Bedrooms,3 Bedroom All Ensuite Apartments In Imara Daima,KSh 9000000
364,"Ngong Road, Ngong Road, Nairobi, Nairobi",2 Bedrooms,"Falcon Apartments At Racecourse, Ngong Road",KSh 7500000
365,"Olive Inn, Kabarak Road, Nakuru, Nakuru, Rift Valley",3 Bedrooms,3 Bed Room Montey Apartments In Nakuru,KSh 5750000
366,"Diani Beach Road, Diani Beach, South coast, Coast",1 Bedrooms,"Diani Beach, Quality Suite Apartments, Central Location",KSh 11500000
367,"Kikuyu Township, Riruta, Kikuyu Township, Central",3 Bedrooms,Apartment In Westpoint Heights,KSh 7500000
368,"westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,Anmol,KSh 24000000
369,"Mombasa Rd, Athi River, Athi River, Eastern",1 Bedrooms,Everest Park,KSh 2950000
370,"Westlands, Westlands, Nairobi, Nairobi",1134 Building Size (m²),Commercial Office for Sale in Nairobi - 3KE1299039,KSh 1316574
371,"Rhapta road, Westlands, Nairobi, Nairobi",4 Bedrooms,Apartment For Sale On Rhapta Road,KSh 35000000
372,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",1 Bedrooms,La Casa Apartments In Rongai,KSh 4300000
373,"Mombasa road, Mombasa Road, Nairobi, Nairobi",3 Rooms (total),"Godown Apprx 11,300 sqft For Sale Mombasa road",KSh 48000000
374,"Karen Plains 17 03 28, Karen, Nairobi, Nairobi",4 Bedrooms,17 1016 SR An extraordinary prospect to own ideal bungalow 17 03 28,KSh 70000000
375,"Gigiri, Gigiri, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for Sale in Gigiri - 3KE1339200,KSh 110000000
376,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,Grand and cozy! Karen house,KSh 80000000
377,"Kitengela, Kitengela, Kajiado, Rift Valley",4046 Land Size (m²),Kitengela Acacia 1/4 Acre Plots,KSh 2500000
378,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments For Sale In Lavington,KSh 24000000
379,"Kiambu, Kiambu Road, Nairobi, Nairobi",1 Bedrooms,Stunning 1 Bedroom Apartment At Mitini Scapes,KSh 5500000
380,"Rhapta Road, Westlands, Nairobi, Nairobi",3 Bedrooms,Elegant 3 Bedroom Apartment,KSh 24000000
381,"George Padmore road, Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Townhouse 2 dsq for Sale in Kilimani,KSh 28500000
382,"Riverside, Nairobi, Nairobi",3 Bedrooms,Luxurious Living In Riverside - 3ke1169501,KSh 43000000
383,"Thika, Thika Township, Thika Township, Central",4 Bedrooms,Tucked away! Bahati Ridge Thika 4 Bedroom Massionate,KSh 13000000
384,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Affordable And Exquisite Apartments In Lavington,KSh 14500000
385,"Turbo Rd, Hurlingham, Nairobi, Nairobi",3 Bedrooms,Stunning 3 Bedroom Dsq Apartments For Sale In Hurlingam,KSh 17000000
386,"Hatheru Road Off Gitanga Road, Lavington, Nairobi, Nairobi",5 Bedrooms,"Duchess Park Apartments, Lavington",KSh 49500000
387,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,Townhouse for Sale in Syokimau - 3KE1321308,KSh 11500000
388,"Imara Daima, Imara Daima, Nairobi, Nairobi",2 Bedrooms,"Gateview Apartments In Muimara, Imara Daima Estate",KSh 7000000
389,"Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,2 & 3 Bedroom Apartment,KSh 27000000
390,"Juja, Thika Township, Thika Township, Central",520000 Land Size (m²),Juja Farm 100 Acres for sale,KSh 10500000
391,"Karen, Karen, Nairobi, Nairobi",4000 Land Size (m²),1 Acre Vacant Land for sale  in Karen - 3ke3004002,KSh 50000000
392,"Riara Road, Riara, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Townhouse for Sale in Kilimani,KSh 37000000
393,"Juja, Juja, Kiambu, Central",468 Land Size (m²),Serviced Plots in A Gated Community for sale,KSh 595000
394,"Mpaka road, Westlands, Westlands, Nairobi, Nairobi",4 Bedrooms,Palatial 4 Bedroom Apartments On Mpaka Road.,KSh 34200000
395,"Kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale In Kilimani - 3ke1308009,KSh 21000000
396,"Utange, Utange, Utange, Coast",3 Bedrooms,Apartment For Sale Only 6 Remaining,KSh 7500000
397,"Ruiru, Ruiru, Ruiru, Central",3 Bedrooms,Dahlia Gardens,KSh 8300000
398,"Office Space For Sale at Spring Valley, Spring Valley, Nairobi, Nairobi",NO252CO42DMJINTRESKEA Object ID,Office Space For Sale at Spring Valley,KSh 23652000
399,"Riverside, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment In Riverside,KSh 21000000
400,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,Cute and beautiful! Lavington Hatheru Three Bedroom Apartment,KSh 15000000
401,"Upper Hill, Upper Hill, Nairobi, Nairobi",10 Rooms (total),New Ideal Office Space For Sale In Upper Hill,KSh 14500
402,"Forest Road, Parklands, Nairobi, Nairobi",5 Bedrooms,3 Storey Apartment Block On Forest Road,KSh 120000000
403,"KIAMBU ROAD, Kiambu Road, Nairobi, Nairobi",2023 Land Size (m²),"05 Acre for sale , Along Kiambu Road",KSh 26000000
404,"Kilimambogo, Thika Township, Thika Township, Central",506 Land Size (m²),1/8 Prime Plots for sale  in Kilimambogo-Thika,KSh 750000
405,"Blue Bay Cove, Riruta, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartment For Sale In Blue Bay Cove, Watamuâ€“ Ref Bir3",KSh 30000000
406,"Eastchurch road, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale,KSh 21500000
407,"parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,Aria Residency,KSh 34000000
408,"Ruaka, Ruaka, Nairobi, Nairobi",3 Bedrooms,Exclusive 3 Bedroom Flat In Ruaka,KSh 10500000
409,"Ruai, Ruai, Nairobi, Nairobi",297 Land Size (m²),40 By 80 Prime Plots For sale In Ruai,KSh 650000
410,"Milimani, Athi River, Athi River, Eastern",4 Bedrooms,4 Bedroom for Sale in Kitengela,KSh 11000000
411,"OFF MOMBASA ROAD-Just after Athi river turn off., Athi River, Machakos, Eastern",3 Bedrooms,Athi River- 3 Bedroom Apartment.,KSh 7000000
412,"Tebere Crecent, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Kileleshwa Towers - Tebere Cresent,KSh 30000000
413,"Kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,Star studded! Kilimani magnificent and spacious apartment,KSh 27000000
414,"parklands, Parklands, Nairobi, Nairobi",4 Bedrooms,Batu Hill,KSh 30000000
415,"Bamburi, Bamburi, Mombasa, Coast",2 Bedrooms,Flat For Sale,KSh 36000000
416,"Oloitoktok Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments For Sale In Kileleshwa,KSh 16000000
417,"General Mathenge, Westlands, Nairobi, Nairobi",4 Bedrooms,Krishna Pride Apartments,KSh 36000000
418,"Elementaita, Elementaita, Elementaita, Rift Valley",80937 Land Size (m²),4 Acres of Prime Land in Naivasha (LAKE Elementataita),KSh 20000000
419,"Kiambu Road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Condominium (THINDIGUA Heights Phase 2) For Sale At Kiambu Road,KSh 11000000
420,"NDWARU SHOPPING CENTRE ,RIRUTA, Naivasha Road, Nairobi, Nairobi",2 Bedrooms,Apartment at Kiara Condos for sale,KSh 7200000
421,"Treelane, Karen, Nairobi, Nairobi",2023 Land Size (m²),05 Acres Residential Vacant Land for sale  in Karen - 3ke1323950,KSh 29000000
422,"Watamu Beach Front, Watamu, Watamu, Coast",3 Bedrooms,3 Bedroom Detached Apartment For Sale In Watamu Beach Front Â€“ Ref Bbg4,KSh 18000000
423,"Riverside, Nairobi, Nairobi",4 Bedrooms,Spacious 4 Bedroom Apartment For Sale In Riverside-3ke1217385,KSh 27000000
424,"Embakasi, Embakasi, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Low-Rise Apartment In Embakasi,KSh 5200000
425,"KIserian magadi rd. ngunyi rd, Kiserian, Rift Valley",3 Bedrooms,Palatial 3 Bedroom Bungalow for sale in Kiserian,KSh 5800000
426,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",3 Bedrooms,Priced to sell! Lower Kabete Wangige Bungalow,KSh 5800000
427,"Riverside, Riverside, Nairobi, Nairobi",4 Bedrooms,Modern 4 Bedroom Apartment For Sale In Riverside-3ke1217385,KSh 25000000
428,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Serenity Apartments - Modern & Tranquil Living.,KSh 25000000
429,"Kiambu, Kiambu Road, Nairobi, Nairobi",506 Land Size (m²),1/8 Acre of Land Migaa Golf Estate - Mitini Scape,KSh 5500000
430,"-1.345682, 36.693557, Karen, Nairobi, Nairobi",4047 Land Size (m²),"One Acre Prime Plot in Karen, Oloolua Ridge",KSh 35000000
431,"Land In Lukenya For Sale, Athi River, Machakos, Eastern",40469 Land Size (m²),Land in Lukenya for sale,KSh 35000000
432,"Hurlingham, Hurlingham, Nairobi, Nairobi",1 Bedrooms,1 Bedroom Apartment for Sale in Hurlingham - 3KE1315022,KSh 15000000
433,"Ridgeways, Nairobi, Nairobi",3 Bedrooms,A New Concept Of Living In Ridgeways,KSh 11500000
434,"Riara road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Kilimani,KSh 18000000
