,address,description,name,value
1391,"MOMBASA ROAD, Mombasa Road, Nairobi, Nairobi",1 Rooms (total),RoofTop Space for Sale,KSh 40000000
1392,"Brookside drive, Westlands, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartment For Sale In Brookside, Westlands",KSh 27000000
1393,"Kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Penthouse All Ensuit On Sale In Kilimani,KSh 30000000
1394,"South B, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In South B,KSh 13500000
1395,"Ruaka, Nairobi, Nairobi",1 Bedrooms,For Sale 1 Bed Rm: Makao Apartments- Ruaka,KSh 6500000
1396,"Ngong Rd, Ngong Road, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale Along Ngong Rd,KSh 7500000
1397,"Brookside Drive, Westlands, Nairobi, Nairobi",3 Bedrooms,"Epitome Of Modern Living, 3 Bedroom Apartment- Westlands",KSh 38000000
1398,"Kindaruma Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom For Sale On Kindaruma Road,KSh 15000000
1399,"brookside drive, Westlands, Nairobi, Nairobi",3 Bedrooms,Apartment At Brookside Drive,KSh 23000000
1400,"Ruaraka, Thika Road, Nairobi, Nairobi",2 Bedrooms,"2 Bedroom Apartment For Sale In Garden City Mall, Thika Road",KSh 26000000
1401,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,A Beautiful 3 Bedrooms Apartment For Sale,KSh 19000000
1402,"Ring Road, Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Kamirembe Place,Ring Road, Kilimani",KSh 21000000
1403,"Rahpta road, Westlands, Nairobi, Nairobi",3 Bedrooms,An Elegant And Exclusive Apartment For Sale In Westlands,KSh 28000000
1404,"Lenana Rd, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Furnished Two Bedroom Apartment With A Dsq For Sale In Kilimani, Nairobi",KSh 18500000
1405,"muslim road, Ngara, Nairobi, Nairobi",1496 Land Size (m²),Re-Development Site in Park Road Ngara,KSh 90000000
1406,"Valley arcade, Valley arcade , Nairobi, Nairobi",3 Bedrooms,Exclusive 4 Bedroom All En-Suite Apartment To Let In Valley Arcade,KSh 25000000
1407,"Naivasha Road, Nairobi, Nairobi",2 Bedrooms,Naivasha Road Apartments,KSh 85000000
1408,"Kilifi, Kilifi Township, Coast",4 Bedrooms,4 bedroom house for sale in Kilifi creek-Kilifi,KSh 40000000
1409,"kodi road, Nairobi West, Nairobi, Nairobi",4 Bedrooms,Old Fashioned Terraced House For Sale In Nairobi West,KSh 30000000
1410,"Riara road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom With A Dsq For Sale In Kilimani,KSh 22000000
1411,"off Riara rd,Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,Riara Garden 3 Bedroom Apartment + Dsq For Sale,KSh 23000000
1412,"It's along waiyaki way opposite mt _view., Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,A 3bdrm With A Dsq Apartment For Sale Along Waiyaki Way Opposite Mt _view.,KSh 15000000
1413,"Casuarina, Malindi, Kilifi, Coast",3 Bedrooms,Ideal Villa For Sale In Malindi,KSh 15000000
1414,"Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,Elegant 2 Bedroom Apartment In Kilimani,KSh 19000000
1415,"Kileleshwa, Nairobi, Nairobi",2 Bedrooms,"Kirichwa Gardens, 2 Bedroom Kileleshwa, Kirichwa Rd",KSh 11500000
1416,"Mombasa Road, Nairobi, Nairobi",3 Bedrooms,"S220- Elegant 3 Bedroom Apartments Off Mombasa Road 6,500,000 Ksh",KSh 6500000
1417,"Ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,Elegant 4 Bedroom Master Ensuite Townhouses for sale in Ruiru,KSh 9500000
1418,"Off Thika-Nairobi Superhighway, Githurai, Nairobi, Nairobi",2 Bedrooms,A Residential/Commercial Building For Sale In Githurai 45,KSh 25000000
1419,"Malindi Town, Malindi, Kilifi, Coast",NO776AP57ZQSINTRESKE Object ID,Malindi-House For Sale.,KSh 55000000
1420,"Six Avenue, Parklands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Parklands,KSh 40000000
