name,county,ward_code,ward_name,political_party,gender
Abdulsattar Abdul rasheed,MOMBASA,26,MJI WA KALE MAKADARA,KENYA AFRICAN NATIONAL UNION,Male
ABEI JAMES ESINYEN,TURKANA,634,KATILU,JUBILEE PARTY,Male
ABEKA SAMUEL MARANDA,HOMA BAY,1251,KANYAMWA KOSEWE,INDEPENDENT,Male
ABEL OMOSA ABUGA,KISII,1330,KIAMOKAMA,KENYA SOCIAL CONGRESS,Male
ABERE EDWIN OSEKO,KISII,1312,BOOCHI BORABU,INDEPENDENT,Male
ABEY ADAN ISSAK,NAIROBI CITY,1437,AIRBASE,JUBILEE PARTY,Male
ABIBO ANDREW MOGERE,KISII,1304,RIANA,PEOPLES DEMOCRATIC PARTY,Male
ABIERO JACOB WILLIAM,HOMA BAY,1247,KANYIKELA,JUBILEE PARTY,Male
ABIKAR ABDULLAHI BAROW,WAJIR,166,DANABA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ABIKAR ABDULLAHI MOHAMUD,WAJIR,170,BARWAGO,JUBILEE PARTY,Male
ABINCHA JARED MOSOTI,NYAMIRA,1365,ESISE,NATIONAL LIBERAL PARTY,Male
ABIRI EVANS SABABU,NYAMIRA,1357,ITIBO,PARTY OF DEMOCRATIC UNITY,Male
ABIRI ISAAC OERRI,NYAMIRA,1357,ITIBO,JUBILEE PARTY,Male
ABOBO ENOCK MOCHAMA,NYAMIRA,1365,ESISE,PEOPLES DEMOCRATIC PARTY,Male
ABOGE MICHAEL ODHIAMBO,MOMBASA,20,KADZANDANI,NATIONAL AGENDA PARTY OF KENYA,Male
ABOLE OSMAN MAHAMUD,WAJIR,162,BUTE,PARTY FOR DEVELOPMENT AND REFORM,Male
ABONGO NDIGA DISHON,NAIROBI CITY,1447,HURUMA,INDEPENDENT,Male
ABOUD SHEIKH ABDALLA,LAMU,102,KIUNGA,JUBILEE PARTY,Male
ABRAHAM GITONGA,MERU,275,KARAMA,CHAMA CHA MASHINANI,Male
ABSOLOM ANDATI LUMBASI,KAKAMEGA,1015,INGOSTSE-MATHIA,AMANI NATIONAL CONGRESS,Male
ABUBA PHILIP OBONYO OLUOCH,SIAYA,1169,NORTH GEM,FEDERAL PARTY OF KENYA,Male
ABUBAKAR EBRAHIM SOMOEBWANA,MOMBASA,26,MJI WA KALE MAKADARA,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABUBAKAR MOHAMED ABDURAHMAN,MOMBASA,19,KONGOWEA,KENYA AFRICAN NATIONAL UNION,Male
ABUBAKAR MOHAMED ABOUD,LAMU,101,FAZA,SOCIAL DEMOCRATIC PARTY OF KENYA,Male
ABUDI ABDALLA KWEYU,KAKAMEGA,1021,MUMIAS NORTH,INDEPENDENT,Male
ABUGA ANDREW KIRIAGO,NYAMIRA,1349,MAGOMBO,SAFINA,Male
ABUGA CHARLES MAGATI,NAIROBI CITY,1444,NAIROBI SOUTH,INDEPENDENT,Male
ABUGA GEORGE MORARA,NYAMIRA,1353,BOGICHORA,ORANGE DEMOCRATIC MOVEMENT,Male
ABUGA HOSEA ONDIEKI,KIAMBU,576,MWIHOKO,INDEPENDENT,Male
ABUGA RICHARD NIXON ONYINKWA,NYAMIRA,1349,MAGOMBO,AMANI NATIONAL CONGRESS,Male
ABUGA SAMSON MOGUSU,KISII,1311,BOMBABA BORABU,PEOPLES DEMOCRATIC PARTY,Male
ABUGA STEPHEN MOREMI,NYAMIRA,1355,BONYAMATUTA,INDEPENDENT,Male
ABUKAR MOHAMED HASSAN,MANDERA,213,NEBOI.,PARTY FOR DEVELOPMENT AND REFORM,Male
ABUOGO SAMSON OKOTH,KISUMU,1186,KAJULU,INDEPENDENT,Male
ABUONJI CHARLES OKUMU,UASIN GISHU,726,LANGAS,ORANGE DEMOCRATIC MOVEMENT,Male
ABUONJI WILLIAMS OLINDA,SIAYA,1175,WEST YIMBO,INDEPENDENT,Male
ABUOR PHILIP OJWANDO,NAIROBI CITY,1389,WOODLEY KENYATTA GOLF COURSE,AMANI NATIONAL CONGRESS,Male
ABURUKI JOEL MARIMBA,MERU,268,KIANJAI,INDEPENDENT,Male
ABUTA LIVINGSTONE ONTITI,KISII,1335,BIRONGO,THE NATIONAL VISION PARTY,Male
ABUYA EVANS,NYAMIRA,1350,MANGA,PARTY OF NATIONAL UNITY,Male
ABUYA WILLIAM ATATI,KISII,1314,MAGENCHE,INDEPENDENT,Male
ABWAO ELPHAS KOME,NAIROBI CITY,1443,LANDIMAWE,AMANI NATIONAL CONGRESS,Male
ABWONDO SAMMY MUSELE,VIHIGA,1064,BANJA,CHAMA MWANGAZA DAIMA,Male
ABWOTO RAPHAEL,BUSIA,1140,BUSIBWABO,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABZED MOHAMMED ABDUL,NAIROBI CITY,1388,MAKINA,JUBILEE PARTY,Male
ACHACH GORDON OMONDI,KISUMU,1204,EAST SEME,JUBILEE PARTY,Male
ACHACHA KENNEDY OUMA,HOMA BAY,1237,WEST GEM,AMANI NATIONAL CONGRESS,Male
ACHAR EVANCE MC'ATEGO,MIGORI,1265,NORTH SAKWA,INDEPENDENT,Male
ACHIENG JOASH OTIENO,HOMA BAY,1243,HOMA BAY WEST,ORANGE DEMOCRATIC MOVEMENT,Male
ACHIENG NAIMA,MOMBASA,21,MTONGWE,WIPER DEMOCRATIC MOVEMENT- KENYA,Female
ACHIENG PETRONILA NAFULA,NAIROBI CITY,1374,KILELESHWA,AMANI NATIONAL CONGRESS,Female
ACHILA LOKWAKOU,WEST POKOT,656,ALALE,JUBILEE PARTY,Male
ACHIRA RONALD ONGAGA,KISII,1309,MOTICHO,JUBILEE PARTY,Male
ACHIRO DENNIS SAM,NAKURU,862,VISOI,INDEPENDENT,Male
ACHOCHI JAPHET MWANIKI,KISII,1316,MASIGE EAST,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ACHOK MOSES IKWEL,TURKANA,621,KALOBEYEI,INDEPENDENT,Male
ACHUKA ROBERT LOWOKO,TURKANA,627,LODWAR TOWNSHIP,ORANGE DEMOCRATIC MOVEMENT,Male
ADAGALA NOELINA NASE,TAITA TAVETA,122,BURA,JUBILEE PARTY,Female
ADAN ABDINUR HASSAN,MANDERA,208,ELWAK SOUTH,CHAMA CHA MASHINANI,Male
ADAN ABDIWAHID ISSACK,MANDERA,202,GUTICHA,SAFINA,Male
ADAN ABDULLAHI SIYAD,MANDERA,218,LAFEY,ECONOMIC FREEDOM PARTY,Male
ADAN AHMED HASSAN,GARISSA,134,IFTIN,PARTY FOR DEVELOPMENT AND REFORM,Male
ADAN AHMED KULLE,WAJIR,162,BUTE,PARTY OF NATIONAL UNITY,Male
ADAN AMIR HUSSEIN,MANDERA,210,SHIMBIR FATUMA,PARTY FOR DEVELOPMENT AND REFORM,Male
ADAN BISHAR MOHAMED,MANDERA,194,DANDU,NATIONAL RAINBOW COALITION- KENYA,Male
